0,1,3,a,1,-1,6.20050917404269,0.05703535387874581
1,1,16,b,1,-1,6.042632833682381,-0.11800735731958412
2,1,11,a,1,-1,5.501258210544727,-0.08934552324353714
3,1,2,b,1,-1,5.966146739123692,-0.38217081417678855
4,1,8,b,1,-1,6.133398042996649,-0.10493575324653648
5,1,1,a,1,-1,6.690842277418564,0.0792321980989073
6,1,4,b,1,-1,6.846943139585379,-0.21075361417024396
7,1,9,a,1,-1,5.966146739123692,0.2566690714156721
8,1,13,a,1,-1,6.759255270663693,-0.039501111110439524
9,1,7,a,1,-1,7.213031659834869,-0.017159967770567164
10,1,5,a,1,-1,7.13966033596492,0.1115649611747358
11,1,15,a,1,-1,6.4692503167957724,0.20878489772439934
12,1,10,b,1,-1,6.70073110954781,-0.3105253755056765
13,1,14,b,1,-1,5.501258210544727,-0.2122081099951174
14,1,12,b,1,-1,5.736572297479192,-0.2871846380585339
15,1,6,b,1,-1,5.877735781779639,-0.003413009544601664
16,10,11,b,1,-1,6.639875833826536,-0.23551733707427047
17,10,15,b,1,-1,6.872128101338986,-0.36469443430542015
18,10,8,a,1,-1,7.080867896690782,0.0028219790256117094
19,10,4,a,1,-1,7.313886831633462,0.3116784066951368
20,10,9,b,1,-1,6.8885724595653635,0.140635010699043
21,10,13,b,1,-1,6.98933526597456,-0.007859083911171183
22,10,6,a,1,-1,6.70073110954781,0.39140784452320077
23,10,10,a,1,-1,6.951772164398911,-0.0587831987941172
24,10,5,b,1,-1,8.704336438489406,-0.04059784402488731
25,10,14,a,1,-1,6.928537818164665,0.14478000710369088
26,10,3,b,1,-1,6.670766320845874,-0.0867871894442942
27,10,7,b,1,-1,7.827639546366422,-0.07875486006378196
28,10,16,a,1,-1,6.431331081933479,0.23193129608989693
29,10,2,a,1,-1,7.170888478512505,0.497972247103462
30,10,12,a,1,-1,8.61558951327243,0.38843387077213265
31,10,1,b,1,-1,8.005367067316664,-0.1747479225450661
32,12,9,b,1,-1,6.09807428216624,0.140635010699043
33,12,3,b,1,-1,6.35088571671474,-0.0867871894442942
34,12,7,b,1,-1,6.184148890937483,-0.07875486006378196
35,12,1,b,1,-1,5.652489180268651,-0.1747479225450661
36,12,5,b,1,-1,6.1675164908883415,-0.04059784402488731
37,12,14,a,1,-1,6.023447592961033,0.14478000710369088
38,12,10,a,1,-1,6.4692503167957724,-0.0587831987941172
39,12,12,a,1,-1,5.921578419643816,0.38843387077213265
40,12,15,b,1,-1,5.983936280687191,-0.36469443430542015
41,12,13,b,1,-1,5.877735781779639,-0.007859083911171183
42,12,8,a,1,-1,5.8998973535824915,0.0028219790256117094
43,12,4,a,1,-1,5.808142489980444,0.3116784066951368
44,12,11,b,1,-1,6.09807428216624,-0.23551733707427047
45,12,6,a,1,-1,5.855071922202427,0.39140784452320077
46,12,16,a,1,-1,5.921578419643816,0.23193129608989693
47,12,2,a,1,-1,6.20050917404269,0.497972247103462
